Area Code,Date,Market,Market Size,Product,Product Line,Product Type,State,Type,1,Cogs,Difference Between Actual And Target Profit,Inventory,Ji Lu Shu,Margin,Marketing,Profit,Sales,Target Cogs,Target Margin,Target Profit,Target Sales,Total Expenses,Zero
573,10/1/2012 12:00:00 AM,Central,Small Market,Chamomile,Leaves,Herbal Tea,Missouri,Decaf,1,45,-36,320,1,64,41,-6,109,20,60,30,80,70,0
262,10/1/2012 12:00:00 AM,Central,Small Market,Lemon,Leaves,Herbal Tea,Wisconsin,Decaf,1,48,-15,851,1,70,13,45,118,30,60,60,90,25,0
801,10/1/2012 12:00:00 AM,West,Small Market,Chamomile,Leaves,Herbal Tea,Utah,Decaf,1,49,-27,310,1,71,15,33,120,30,60,60,90,38,0
425,10/1/2012 12:00:00 AM,West,Small Market,Lemon,Leaves,Herbal Tea,Washington,Decaf,1,48,-13,829,1,71,13,47,119,30,60,60,90,24,0
860,10/1/2012 12:00:00 AM,East,Small Market,Darjeeling,Leaves,Tea,Connecticut,Regular,1,40,-14,881,1,59,11,36,99,40,60,50,100,23,0
971,10/1/2012 12:00:00 AM,West,Small Market,Earl Grey,Leaves,Tea,Oregon,Regular,1,82,14,788,1,123,27,64,205,30,60,50,90,59,0
971,10/1/2012 12:00:00 AM,West,Small Market,Green Tea,Leaves,Tea,Oregon,Regular,1,91,26,656,1,127,28,76,218,40,60,50,100,51,0
915,11/1/2012 12:00:00 AM,South,Major Market,Decaf Irish Cream,Beans,Coffee,Texas,Decaf,1,40,-14,536,1,52,13,26,92,40,60,40,100,26,0
210,11/1/2012 12:00:00 AM,South,Major Market,Decaf Espresso,Beans,Espresso,Texas,Decaf,1,50,8,589,1,73,14,48,123,30,60,40,90,25,0
970,11/1/2012 12:00:00 AM,Central,Major Market,Colombian,Beans,Coffee,Colorado,Regular,1,40,-13,536,1,52,13,27,92,30,60,40,90,25,0
774,11/1/2012 12:00:00 AM,East,Major Market,Caffe Mocha,Beans,Espresso,Massachusetts,Regular,1,52,-8,554,1,68,47,-8,120,50,60,0,110,76,0
954,11/1/2012 12:00:00 AM,East,Major Market,Mint,Leaves,Herbal Tea,Florida,Decaf,1,75,14,1063,1,89,23,44,164,50,60,30,110,45,0
936,11/1/2012 12:00:00 AM,South,Major Market,Lemon,Leaves,Herbal Tea,Texas,Decaf,1,46,1,424,1,68,14,31,114,40,60,30,100,37,0
719,11/1/2012 12:00:00 AM,Central,Major Market,Darjeeling,Leaves,Tea,Colorado,Regular,1,55,-5,410,1,69,20,15,124,40,60,20,100,54,0
847,11/1/2012 12:00:00 AM,Central,Major Market,Darjeeling,Leaves,Tea,Illinois,Regular,1,50,8,589,1,73,14,48,123,40,60,40,100,25,0
719,11/1/2012 12:00:00 AM,Central,Major Market,Earl Grey,Leaves,Tea,Colorado,Regular,1,57,-1,1042,1,68,17,29,125,40,60,30,100,39,0
339,11/1/2012 12:00:00 AM,East,Major Market,Darjeeling,Leaves,Tea,Massachusetts,Regular,1,36,-9,862,1,52,10,31,88,30,60,40,90,21,0
314,11/1/2012 12:00:00 AM,Central,Small Market,Decaf Espresso,Beans,Espresso,Missouri,Decaf,1,33,-23,836,1,48,9,27,81,40,60,50,100,21,0
504,11/1/2012 12:00:00 AM,South,Small Market,Decaf Irish Cream,Beans,Coffee,Louisiana,Decaf,1,31,-22,856,1,47,8,28,78,30,60,50,90,19,0
580,11/1/2012 12:00:00 AM,South,Small Market,Decaf Irish Cream,Beans,Coffee,Oklahoma,Decaf,1,36,-10,862,1,52,10,30,88,40,60,40,100,22,0
225,11/1/2012 12:00:00 AM,South,Small Market,Decaf Espresso,Beans,Espresso,Louisiana,Decaf,1,49,4,454,1,71,15,34,120,30,60,30,90,37,0
262,11/1/2012 12:00:00 AM,Central,Small Market,Amaretto,Beans,Coffee,Wisconsin,Regular,1,54,-6,391,1,67,20,14,121,50,60,20,110,53,0
603,11/1/2012 12:00:00 AM,East,Small Market,Amaretto,Beans,Coffee,New Hampshire,Regular,1,46,-10,316,1,67,14,30,113,40,60,40,100,37,0
603,11/1/2012 12:00:00 AM,East,Small Market,Colombian,Beans,Coffee,New Hampshire,Regular,1,43,-10,452,1,66,14,20,109,30,60,30,90,46,0
603,11/1/2012 12:00:00 AM,East,Small Market,Caffe Mocha,Beans,Espresso,New Hampshire,Regular,1,44,-18,325,1,62,40,-8,106,40,60,10,100,70,0
225,11/1/2012 12:00:00 AM,South,Small Market,Caffe Mocha,Beans,Espresso,Louisiana,Regular,1,53,19,321,1,88,16,49,141,40,60,30,100,39,0
425,11/1/2012 12:00:00 AM,West,Small Market,Caffe Mocha,Beans,Espresso,Washington,Regular,1,54,-7,391,1,67,20,13,121,50,60,20,110,54,0
918,11/1/2012 12:00:00 AM,South,Small Market,Chamomile,Leaves,Herbal Tea,Oklahoma,Decaf,1,54,-7,391,1,67,20,13,121,50,60,20,110,54,0
801,11/1/2012 12:00:00 AM,West,Small Market,Chamomile,Leaves,Herbal Tea,Utah,Decaf,1,46,0,316,1,67,14,30,113,40,60,30,100,37,0
435,11/1/2012 12:00:00 AM,West,Small Market,Lemon,Leaves,Herbal Tea,Utah,Decaf,1,43,-10,452,1,66,14,20,109,40,60,30,100,46,0
509,11/1/2012 12:00:00 AM,West,Small Market,Lemon,Leaves,Herbal Tea,Washington,Decaf,1,47,4,834,1,68,13,44,115,40,60,40,100,24,0
203,11/1/2012 12:00:00 AM,East,Small Market,Green Tea,Leaves,Tea,Connecticut,Regular,1,36,-7,809,1,54,10,33,90,30,60,40,90,21,0
206,11/1/2012 12:00:00 AM,West,Small Market,Green Tea,Leaves,Tea,Washington,Regular,1,61,1,613,1,86,55,1,147,40,60,0,100,85,0
682,12/1/2012 12:00:00 AM,South,Major Market,Decaf Irish Cream,Beans,Coffee,Texas,Decaf,1,43,-10,531,1,56,14,30,99,50,60,40,110,26,0
214,12/1/2012 12:00:00 AM,South,Major Market,Decaf Espresso,Beans,Espresso,Texas,Decaf,1,54,12,601,1,79,15,52,133,40,60,40,100,27,0
970,12/1/2012 12:00:00 AM,Central,Major Market,Lemon,Leaves,Herbal Tea,Colorado,Decaf,1,47,-6,521,1,65,42,-6,112,40,60,0,100,71,0
303,12/1/2012 12:00:00 AM,Central,Major Market,Mint,Leaves,Herbal Tea,Colorado,Decaf,1,54,-1,424,1,73,17,29,127,50,60,30,110,44,0
954,12/1/2012 12:00:00 AM,East,Major Market,Lemon,Leaves,Herbal Tea,Florida,Decaf,1,65,3,403,1,80,24,23,145,40,60,20,100,57,0
561,12/1/2012 12:00:00 AM,East,Major Market,Mint,Leaves,Herbal Tea,Florida,Decaf,1,80,20,1079,1,96,24,50,176,60,60,30,120,46,0
469,12/1/2012 12:00:00 AM,South,Major Market,Chamomile,Leaves,Herbal Tea,Texas,Decaf,1,54,-2,424,1,73,17,28,127,50,60,30,110,45,0
214,12/1/2012 12:00:00 AM,South,Major Market,Lemon,Leaves,Herbal Tea,Texas,Decaf,1,41,-6,435,1,60,13,24,101,30,60,30,90,36,0
619,12/1/2012 12:00:00 AM,West,Major Market,Earl Grey,Leaves,Tea,California,Regular,1,54,3,601,1,79,15,53,133,30,60,50,90,26,0
314,12/1/2012 12:00:00 AM,Central,Small Market,Decaf Espresso,Beans,Espresso,Missouri,Decaf,1,31,-23,844,1,46,8,27,77,30,60,50,90,19,0
225,12/1/2012 12:00:00 AM,South,Small Market,Decaf Irish Cream,Beans,Coffee,Louisiana,Decaf,1,34,-19,863,1,51,9,31,85,40,60,50,100,20,0
580,12/1/2012 12:00:00 AM,South,Small Market,Decaf Irish Cream,Beans,Coffee,Oklahoma,Decaf,1,33,-22,870,1,49,9,28,82,30,60,50,90,21,0
603,12/1/2012 12:00:00 AM,East,Small Market,Colombian,Beans,Coffee,New Hampshire,Regular,1,48,-2,462,1,74,15,28,122,40,60,30,100,46,0
985,12/1/2012 12:00:00 AM,South,Small Market,Caffe Latte,Beans,Espresso,Louisiana,Regular,1,55,-3,-1053,1,76,49,-3,131,40,60,0,100,79,0
505,12/1/2012 12:00:00 AM,South,Small Market,Caffe Mocha,Beans,Espresso,New Mexico,Regular,1,49,-15,335,1,69,44,-5,118,30,60,10,90,74,0
775,12/1/2012 12:00:00 AM,West,Small Market,Colombian,Beans,Coffee,Nevada,Regular,1,39,-19,250,1,49,14,1,88,40,60,20,100,48,0
417,12/1/2012 12:00:00 AM,Central,Small Market,Chamomile,Leaves,Herbal Tea,Missouri,Decaf,1,49,-5,335,1,69,44,-5,118,40,60,0,100,74,0
920,12/1/2012 12:00:00 AM,Central,Small Market,Chamomile,Leaves,Herbal Tea,Wisconsin,Decaf,1,41,0,320,1,66,12,30,107,30,60,30,90,36,0
573,12/1/2012 12:00:00 AM,Central,Small Market,Lemon,Leaves,Herbal Tea,Missouri,Decaf,1,92,-4,1898,1,68,28,16,160,80,60,20,140,52,0
475,12/1/2012 12:00:00 AM,East,Small Market,Lemon,Leaves,Herbal Tea,Connecticut,Decaf,1,68,7,619,1,85,25,27,153,50,60,20,110,58,0
475,12/1/2012 12:00:00 AM,East,Small Market,Mint,Leaves,Herbal Tea,Connecticut,Decaf,1,63,-4,1075,1,76,19,36,139,40,60,40,100,40,0
435,12/1/2012 12:00:00 AM,West,Small Market,Mint,Leaves,Herbal Tea,Utah,Decaf,1,92,-3,1898,1,68,28,17,160,80,60,20,140,51,0
920,12/1/2012 12:00:00 AM,Central,Small Market,Earl Grey,Leaves,Tea,Wisconsin,Regular,1,55,-3,627,1,76,49,-3,131,40,60,0,100,79,0
720,10/1/2013 12:00:00 AM,Central,Major Market,Lemon,Leaves,Herbal Tea,Colorado,Decaf,1,51,-37,503,1,71,46,-7,130,30,60,30,90,76,0
970,10/1/2013 12:00:00 AM,Central,Major Market,Mint,Leaves,Herbal Tea,Colorado,Decaf,1,52,-11,405,1,71,17,39,131,30,60,50,90,45,0
430,10/1/2013 12:00:00 AM,South,Major Market,Lemon,Leaves,Herbal Tea,Texas,Decaf,1,43,-8,419,1,64,13,42,114,30,60,50,90,36,0
561,10/1/2013 12:00:00 AM,East,Major Market,Darjeeling,Leaves,Tea,Florida,Regular,1,38,2,871,1,56,10,52,100,40,60,50,100,21,0
510,10/1/2013 12:00:00 AM,West,Major Market,Green Tea,Leaves,Tea,California,Regular,1,72,33,650,1,110,23,83,194,20,60,50,80,54,0
563,10/1/2013 12:00:00 AM,Central,Small Market,Decaf Espresso,Beans,Espresso,Iowa,Decaf,1,0,-14,430,1,43,0,46,46,0,60,60,60,12,0
203,10/1/2013 12:00:00 AM,East,Small Market,Decaf Espresso,Beans,Espresso,Connecticut,Decaf,1,47,-19,375,1,64,15,31,118,30,60,50,90,43,0
405,10/1/2013 12:00:00 AM,South,Small Market,Decaf Irish Cream,Beans,Coffee,Oklahoma,Decaf,1,27,-29,859,1,39,7,31,70,30,60,60,90,18,0
775,10/1/2013 12:00:00 AM,West,Small Market,Decaf Irish Cream,Beans,Coffee,Nevada,Decaf,1,31,-40,1000,1,37,9,10,72,30,60,50,90,30,0
435,10/1/2013 12:00:00 AM,West,Small Market,Decaf Espresso,Beans,Espresso,Utah,Decaf,1,40,-5,881,1,59,11,55,106,20,60,60,80,22,0
603,10/1/2013 12:00:00 AM,East,Small Market,Amaretto,Beans,Coffee,New Hampshire,Regular,1,49,-11,310,1,71,15,49,128,30,60,60,90,38,0
603,10/1/2013 12:00:00 AM,East,Small Market,Colombian,Beans,Coffee,New Hampshire,Regular,1,45,-14,447,1,69,14,36,121,30,60,50,90,45,0
603,10/1/2013 12:00:00 AM,East,Small Market,Caffe Mocha,Beans,Espresso,New Hampshire,Regular,1,45,-40,320,1,64,41,-10,116,30,60,30,90,71,0
504,10/1/2013 12:00:00 AM,South,Small Market,Caffe Latte,Beans,Espresso,Louisiana,Regular,1,60,-9,-762,1,84,54,1,153,30,60,10,90,83,0
702,10/1/2013 12:00:00 AM,West,Small Market,Colombian,Beans,Coffee,Nevada,Regular,1,34,-33,240,1,43,12,-3,82,40,60,30,100,45,0
971,10/1/2013 12:00:00 AM,West,Small Market,Caffe Latte,Beans,Espresso,Oregon,Regular,1,54,-22,404,1,66,20,18,128,40,60,40,100,54,0
573,10/1/2013 12:00:00 AM,Central,Small Market,Chamomile,Leaves,Herbal Tea,Missouri,Decaf,1,45,-39,320,1,64,41,-9,116,20,60,30,80,70,0
262,10/1/2013 12:00:00 AM,Central,Small Market,Lemon,Leaves,Herbal Tea,Wisconsin,Decaf,1,48,7,851,1,70,13,67,126,30,60,60,90,25,0
801,10/1/2013 12:00:00 AM,West,Small Market,Chamomile,Leaves,Herbal Tea,Utah,Decaf,1,49,-11,310,1,71,15,49,128,30,60,60,90,38,0
509,10/1/2013 12:00:00 AM,West,Small Market,Lemon,Leaves,Herbal Tea,Washington,Decaf,1,48,10,829,1,71,13,70,127,30,60,60,90,24,0
475,10/1/2013 12:00:00 AM,East,Small Market,Darjeeling,Leaves,Tea,Connecticut,Regular,1,40,3,881,1,59,11,53,106,40,60,50,100,23,0
503,10/1/2013 12:00:00 AM,West,Small Market,Earl Grey,Leaves,Tea,Oregon,Regular,1,82,45,788,1,123,27,95,218,30,60,50,90,59,0
541,10/1/2013 12:00:00 AM,West,Small Market,Green Tea,Leaves,Tea,Oregon,Regular,1,91,63,656,1,127,28,113,232,40,60,50,100,51,0
936,11/1/2013 12:00:00 AM,South,Major Market,Decaf Irish Cream,Beans,Coffee,Texas,Decaf,1,40,-1,536,1,52,13,39,98,40,60,40,100,26,0
254,11/1/2013 12:00:00 AM,South,Major Market,Decaf Espresso,Beans,Espresso,Texas,Decaf,1,50,31,589,1,73,14,71,131,30,60,40,90,25,0
719,11/1/2013 12:00:00 AM,Central,Major Market,Colombian,Beans,Coffee,Colorado,Regular,1,40,0,536,1,52,13,40,98,30,60,40,90,25,0
339,11/1/2013 12:00:00 AM,East,Major Market,Caffe Mocha,Beans,Espresso,Massachusetts,Regular,1,52,-12,554,1,68,47,-12,128,50,60,0,110,76,0
561,11/1/2013 12:00:00 AM,East,Major Market,Mint,Leaves,Herbal Tea,Florida,Decaf,1,75,35,1063,1,89,23,65,175,50,60,30,110,45,0
806,11/1/2013 12:00:00 AM,South,Major Market,Lemon,Leaves,Herbal Tea,Texas,Decaf,1,46,16,424,1,68,14,46,121,40,60,30,100,37,0
719,11/1/2013 12:00:00 AM,Central,Major Market,Darjeeling,Leaves,Tea,Colorado,Regular,1,55,2,410,1,69,20,22,132,40,60,20,100,54,0
708,11/1/2013 12:00:00 AM,Central,Major Market,Darjeeling,Leaves,Tea,Illinois,Regular,1,50,31,589,1,73,14,71,131,40,60,40,100,25,0
719,11/1/2013 12:00:00 AM,Central,Major Market,Earl Grey,Leaves,Tea,Colorado,Regular,1,57,13,1042,1,68,17,43,133,40,60,30,100,39,0
351,11/1/2013 12:00:00 AM,East,Major Market,Darjeeling,Leaves,Tea,Massachusetts,Regular,1,36,6,862,1,52,10,46,94,30,60,40,90,21,0
636,11/1/2013 12:00:00 AM,Central,Small Market,Decaf Espresso,Beans,Espresso,Missouri,Decaf,1,33,-10,836,1,48,9,40,86,40,60,50,100,21,0
504,11/1/2013 12:00:00 AM,South,Small Market,Decaf Irish Cream,Beans,Coffee,Louisiana,Decaf,1,31,-8,856,1,47,8,42,83,30,60,50,90,19,0
580,11/1/2013 12:00:00 AM,South,Small Market,Decaf Irish Cream,Beans,Coffee,Oklahoma,Decaf,1,36,5,862,1,52,10,45,94,40,60,40,100,22,0
337,11/1/2013 12:00:00 AM,South,Small Market,Decaf Espresso,Beans,Espresso,Louisiana,Decaf,1,49,20,454,1,71,15,50,128,30,60,30,90,37,0
262,11/1/2013 12:00:00 AM,Central,Small Market,Amaretto,Beans,Coffee,Wisconsin,Regular,1,54,1,391,1,67,20,21,129,50,60,20,110,53,0
603,11/1/2013 12:00:00 AM,East,Small Market,Amaretto,Beans,Coffee,New Hampshire,Regular,1,46,5,316,1,67,14,45,120,40,60,40,100,37,0
603,11/1/2013 12:00:00 AM,East,Small Market,Colombian,Beans,Coffee,New Hampshire,Regular,1,43,0,452,1,66,14,30,116,30,60,30,90,46,0
603,11/1/2013 12:00:00 AM,East,Small Market,Caffe Mocha,Beans,Espresso,New Hampshire,Regular,1,44,-22,325,1,62,40,-12,113,40,60,10,100,70,0
318,11/1/2013 12:00:00 AM,South,Small Market,Caffe Mocha,Beans,Espresso,Louisiana,Regular,1,53,43,321,1,88,16,73,150,40,60,30,100,39,0
206,11/1/2013 12:00:00 AM,West,Small Market,Caffe Mocha,Beans,Espresso,Washington,Regular,1,54,-1,391,1,67,20,19,129,50,60,20,110,54,0
580,11/1/2013 12:00:00 AM,South,Small Market,Chamomile,Leaves,Herbal Tea,Oklahoma,Decaf,1,54,-1,391,1,67,20,19,129,50,60,20,110,54,0
435,11/1/2013 12:00:00 AM,West,Small Market,Chamomile,Leaves,Herbal Tea,Utah,Decaf,1,46,15,316,1,67,14,45,120,40,60,30,100,37,0
435,11/1/2013 12:00:00 AM,West,Small Market,Lemon,Leaves,Herbal Tea,Utah,Decaf,1,43,0,452,1,66,14,30,116,40,60,30,100,46,0
253,11/1/2013 12:00:00 AM,West,Small Market,Lemon,Leaves,Herbal Tea,Washington,Decaf,1,47,25,834,1,68,13,65,123,40,60,40,100,24,0
203,11/1/2013 12:00:00 AM,East,Small Market,Green Tea,Leaves,Tea,Connecticut,Regular,1,36,9,809,1,54,10,49,96,30,60,40,90,21,0
509,11/1/2013 12:00:00 AM,West,Small Market,Green Tea,Leaves,Tea,Washington,Regular,1,61,1,613,1,86,55,1,157,40,60,0,100,85,0
956,12/1/2013 12:00:00 AM,South,Major Market,Decaf Irish Cream,Beans,Coffee,Texas,Decaf,1,43,5,531,1,56,14,45,106,50,60,40,110,26,0
430,12/1/2013 12:00:00 AM,South,Major Market,Decaf Espresso,Beans,Espresso,Texas,Decaf,1,54,37,601,1,79,15,77,142,40,60,40,100,27,0
719,12/1/2013 12:00:00 AM,Central,Major Market,Lemon,Leaves,Herbal Tea,Colorado,Decaf,1,47,-9,521,1,65,42,-9,119,40,60,0,100,71,0
970,12/1/2013 12:00:00 AM,Central,Major Market,Mint,Leaves,Herbal Tea,Colorado,Decaf,1,54,13,424,1,73,17,43,135,50,60,30,110,44,0
305,12/1/2013 12:00:00 AM,East,Major Market,Lemon,Leaves,Herbal Tea,Florida,Decaf,1,65,14,403,1,80,24,34,155,40,60,20,100,57,0
407,12/1/2013 12:00:00 AM,East,Major Market,Mint,Leaves,Herbal Tea,Florida,Decaf,1,80,44,1079,1,96,24,74,188,60,60,30,120,46,0
325,12/1/2013 12:00:00 AM,South,Major Market,Chamomile,Leaves,Herbal Tea,Texas,Decaf,1,54,12,424,1,73,17,42,135,50,60,30,110,45,0
430,12/1/2013 12:00:00 AM,South,Major Market,Lemon,Leaves,Herbal Tea,Texas,Decaf,1,41,6,435,1,60,13,36,108,30,60,30,90,36,0
408,12/1/2013 12:00:00 AM,West,Major Market,Earl Grey,Leaves,Tea,California,Regular,1,54,29,601,1,79,15,79,142,30,60,50,90,26,0
816,12/1/2013 12:00:00 AM,Central,Small Market,Decaf Espresso,Beans,Espresso,Missouri,Decaf,1,31,-10,844,1,46,8,40,82,30,60,50,90,19,0
337,12/1/2013 12:00:00 AM,South,Small Market,Decaf Irish Cream,Beans,Coffee,Louisiana,Decaf,1,34,-4,863,1,51,9,46,91,40,60,50,100,20,0
918,12/1/2013 12:00:00 AM,South,Small Market,Decaf Irish Cream,Beans,Coffee,Oklahoma,Decaf,1,33,-8,870,1,49,9,42,87,30,60,50,90,21,0
603,12/1/2013 12:00:00 AM,East,Small Market,Colombian,Beans,Coffee,New Hampshire,Regular,1,48,12,462,1,74,15,42,130,40,60,30,100,46,0
225,12/1/2013 12:00:00 AM,South,Small Market,Caffe Latte,Beans,Espresso,Louisiana,Regular,1,55,-4,-1053,1,76,49,-4,140,40,60,0,100,79,0
505,12/1/2013 12:00:00 AM,South,Small Market,Caffe Mocha,Beans,Espresso,New Mexico,Regular,1,49,-17,335,1,69,44,-7,126,30,60,10,90,74,0
702,12/1/2013 12:00:00 AM,West,Small Market,Colombian,Beans,Coffee,Nevada,Regular,1,39,-19,250,1,49,14,1,94,40,60,20,100,48,0
314,12/1/2013 12:00:00 AM,Central,Small Market,Chamomile,Leaves,Herbal Tea,Missouri,Decaf,1,49,-7,335,1,69,44,-7,126,40,60,0,100,74,0
920,12/1/2013 12:00:00 AM,Central,Small Market,Chamomile,Leaves,Herbal Tea,Wisconsin,Decaf,1,41,15,320,1,66,12,45,114,30,60,30,90,36,0
417,12/1/2013 12:00:00 AM,Central,Small Market,Lemon,Leaves,Herbal Tea,Missouri,Decaf,1,92,4,1898,1,68,28,24,171,80,60,20,140,52,0
860,12/1/2013 12:00:00 AM,East,Small Market,Lemon,Leaves,Herbal Tea,Connecticut,Decaf,1,68,20,619,1,85,25,40,163,50,60,20,110,58,0
203,12/1/2013 12:00:00 AM,East,Small Market,Mint,Leaves,Herbal Tea,Connecticut,Decaf,1,63,13,1075,1,76,19,53,148,40,60,40,100,40,0
435,12/1/2013 12:00:00 AM,West,Small Market,Mint,Leaves,Herbal Tea,Utah,Decaf,1,92,5,1898,1,68,28,25,171,80,60,20,140,51,0
262,12/1/2013 12:00:00 AM,Central,Small Market,Earl Grey,Leaves,Tea,Wisconsin,Regular,1,55,-4,627,1,76,49,-4,140,40,60,0,100,79,0
719,10/1/2012 12:00:00 AM,Central,Major Market,Colombian,Beans,Coffee,Colorado,Regular,1,39,-23,541,1,51,12,27,90,30,50,50,80,24,0
305,10/1/2012 12:00:00 AM,East,Major Market,Mint,Leaves,Herbal Tea,Florida,Decaf,1,80,8,1055,1,94,24,48,174,40,50,40,90,46,0
303,10/1/2012 12:00:00 AM,Central,Major Market,Darjeeling,Leaves,Tea,Colorado,Regular,1,54,-17,404,1,66,20,13,120,30,50,30,80,53,0
303,10/1/2012 12:00:00 AM,Central,Major Market,Earl Grey,Leaves,Tea,Colorado,Regular,1,54,-13,1037,1,64,16,27,118,30,50,40,80,37,0
508,10/1/2012 12:00:00 AM,East,Major Market,Darjeeling,Leaves,Tea,Massachusetts,Regular,1,27,-30,859,1,39,7,20,66,20,50,50,70,19,0
209,10/1/2012 12:00:00 AM,West,Major Market,Earl Grey,Leaves,Tea,California,Regular,1,76,29,580,1,111,21,79,187,30,50,50,80,32,0
715,10/1/2012 12:00:00 AM,Central,Small Market,Decaf Espresso,Beans,Espresso,Wisconsin,Decaf,1,22,-40,573,1,29,7,10,51,20,50,50,70,19,0
319,10/1/2012 12:00:00 AM,Central,Small Market,Caffe Mocha,Beans,Espresso,Iowa,Regular,1,23,-32,800,1,35,6,18,58,20,50,50,70,17,0
959,10/1/2012 12:00:00 AM,East,Small Market,Lemon,Leaves,Herbal Tea,Connecticut,Decaf,1,79,4,593,1,98,30,34,177,40,50,30,90,64,0
860,10/1/2012 12:00:00 AM,East,Small Market,Mint,Leaves,Herbal Tea,Connecticut,Decaf,1,65,-15,1053,1,77,20,35,142,30,50,50,80,42,0
262,10/1/2012 12:00:00 AM,Central,Small Market,Darjeeling,Leaves,Tea,Wisconsin,Regular,1,46,-10,449,1,67,14,30,113,20,50,40,70,37,0
715,10/1/2012 12:00:00 AM,Central,Small Market,Earl Grey,Leaves,Tea,Wisconsin,Regular,1,60,0,606,1,84,54,0,144,40,50,0,90,84,0
206,10/1/2012 12:00:00 AM,West,Small Market,Darjeeling,Leaves,Tea,Washington,Regular,1,60,17,329,1,99,18,57,159,20,50,40,70,42,0
773,11/1/2012 12:00:00 AM,Central,Major Market,Lemon,Leaves,Herbal Tea,Illinois,Decaf,1,40,-3,536,1,52,13,27,92,30,50,30,80,25,0
614,11/1/2012 12:00:00 AM,Central,Major Market,Lemon,Leaves,Herbal Tea,Ohio,Decaf,1,36,-10,862,1,52,10,30,88,30,50,40,80,22,0
617,11/1/2012 12:00:00 AM,East,Major Market,Lemon,Leaves,Herbal Tea,Massachusetts,Decaf,1,55,-5,410,1,69,20,15,124,40,50,20,90,54,0
707,11/1/2012 12:00:00 AM,West,Major Market,Mint,Leaves,Herbal Tea,California,Decaf,1,40,-3,536,1,52,13,27,92,30,50,30,80,25,0
352,11/1/2012 12:00:00 AM,East,Major Market,Darjeeling,Leaves,Tea,Florida,Regular,1,28,-17,875,1,42,7,23,70,20,50,40,70,19,0
561,11/1/2012 12:00:00 AM,East,Major Market,Green Tea,Leaves,Tea,Florida,Regular,1,31,-12,856,1,47,8,28,78,30,50,40,80,19,0
351,11/1/2012 12:00:00 AM,East,Major Market,Green Tea,Leaves,Tea,Massachusetts,Regular,1,32,-11,482,1,48,8,29,80,30,50,40,80,19,0
650,11/1/2012 12:00:00 AM,West,Major Market,Earl Grey,Leaves,Tea,California,Regular,1,50,7,589,1,73,14,47,123,30,50,40,80,26,0
